movieId,title,genres,tmdbId,director,top_3_cast,overview,poster_path
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,"Dans un monde où les jouets vivent leur vie quand les humains ne sont pas présents, Toy Story emmène les spectateurs dans un voyage fantastique vu principalement par les yeux de deux rivaux : Woody, un cow-boy, et Buzz l'Éclair, un ranger de l’espace. Ce duo va devoir apprendre à mettre ses différences de côté et s'allier, lorsqu’il sera séparé de son propriétaire Andy.",https://image.tmdb.org/t/p/w500/4cWLRhub0yY9VJpdw0nqoTPYyiN.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,Joe Johnston,Robin Williams|Kirsten Dunst|Bradley Pierce,"Lors d'une partie de Jumanji, un jeu très ancien, le jeune Alan est propulsé sous les yeux de son amie d'enfance, Sarah, dans un étrange pays. Il ne pourra s'en échapper que lorsqu'un autre joueur reprendra la partie et le libèrera sur un coup de dés. Vingt-six ans plus tard, il retrouve le monde réel par le coup de dés de deux autres jeunes joueurs.",https://image.tmdb.org/t/p/w500/nLXYV4WmYUF4i8pX0iE0H1rltmf.jpg
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,"Après le mariage de John et d'Ariel, Max se retrouve plus seul que jamais. Jacob lui annonce qu'il devrait se trouver quelqu'un. Hostile à cette idée, Max change vite d'avis lorsqu'il fait la connaissance de la belle Maria, nouvelle gérante du magasin de pêche à côté du lac, et qui veut en faire un restaurant italien. John et Max vont tout mettre en œuvre pour la faire partir, mais Maria va leur faire la guerre...",https://image.tmdb.org/t/p/w500/zRLjlOwgJtyZCNFmfJIiHjv0NWs.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,"L'amitié de quatre femmes qui tentent de surmonter les épreuves de leur vie partagée entre leur mari, leur amant et leur boulot.",https://image.tmdb.org/t/p/w500/mIRqwlKWmzdCpnkdnPtlFlYcl0k.jpg
5,Father of the Bride Part II (1995),Comedy,11862.0,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,"George Banks et sa petite famille sont de retour ! Sa fille mariée, George croit enfin avoir trouvé la tranquillité quand celle-ci annonce qu'elle attend un enfant. Ne pouvant se faire à l'idée d'être grand-père à son âge, George veut prouver qu'il est encore jeune. Prêt à tout, il va jusqu'à se teindre les cheveux et vendre sa maison familiale pour vivre une autre vie.",https://image.tmdb.org/t/p/w500/51dOseh6cExZ8YShj5298NZC2E2.jpg
6,Heat (1995),Action|Crime|Thriller,949.0,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,"Neil McCauley est un braqueur qui a de l'expérience. Il veille, au cours de ses vols, à ne pas commettre d'impairs. Ses complices n'ont pas autant de scrupules ni de «conscience professionnelle». Lors d'une opération pourtant bien planifiée, l'un d'entre eux tire sur deux vigiles. Ce double meurtre intéresse au plus au point le lieutenant Hanna, qui ne met guère de temps à identifier McCauley comme étant le cerveau de la bande. Les deux hommes apprennent à se connaître par dossier et surveillance interposée. A tel point qu'il finissent par se rencontrer. Chacun jure alors de mettre l'autre en échec. Un duel s'engage, à la limite de la légalité.",https://image.tmdb.org/t/p/w500/e0xv5Y7UVrhKEVy1g3URMLLVDYB.jpg
7,Sabrina (1995),Comedy|Romance,11860.0,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,"Fille d'un chauffeur, Sabrina Fairchild a passé toute sa jeunesse dans la propriété luxueuse de Mr Larrabee, le patron de son père. Rêvant d'un destin de princesse, cette dernière est tombée folle amoureuse de son fils David, un séducteur invétéré. Rejetée par ce dernier, l'adolescente s'exile alors à Paris pendant deux ans et à son retour, elle s’est métamorphosée en ravissante jeune femme. Fiancé à une autre, David est séduit par ce changement. Afin de lui éviter des torts, son grand frère, Linus, la prend sous son aile, ne doutant pas que sa vie va être complètement bouleversée.",https://image.tmdb.org/t/p/w500/tlytkWiIsIPg57gwATAD9VzC33m.jpg
8,Tom and Huck (1995),Adventure|Children,45325.0,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig,"Tom et Huck témoin du meurtre de Injun Joe de Doc Robinson une nuit au cimetière. Quand un homme innocent est accusé d'avoir tué le Doc, Tom étapes comme témoin, ne pas respecter la promesse faite à Huck à mettre bas.",https://image.tmdb.org/t/p/w500/cYcSg2u2n7ymaq6hMyVEZM7NKAb.jpg
9,Sudden Death (1995),Action,9091.0,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,"Darren McCord, un modeste employé d'un stade de hockey, l'Arena, s'apprête à assister à un match en compagnie de ses enfants. Quatre-vingt-dix minutes avant la rencontre, un commando investit l'Arena et prend en otage les membres de la tribune d'honneur, menaçant de tout faire sauter s'il n'obtient pas la rançon d'un milliard de dollars réclamée à la Maison-Blanche. Emily, la petite fille de Darren, est également capturée par le commando. McCord va tout tenter pour sauver son enfant et les milliers de spectateurs enfermés dans le stade.",https://image.tmdb.org/t/p/w500/uxNh9LlLYAFuYYh5u9TnbBNMtT3.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,"Dans les derniers jours de la guerre froide, James Bond et son collègue et ami Alec Trevelyan s’introduisent dans l’usine soviétique de gaz neurotoxique Arkangel, afin de la détruire. Les deux hommes sont découverts et, au cours d’une violente bagarre, Trevelyan est fait prisonnier et est exécuté sous les yeux de Bond par le général soviétique Ourumov. Bond s’enfuit de façon spectaculaire. Il restera obsédé par son échec à sauver son ami. 9 ans plus tard, alors que l’Union Soviétique est devenue une constellation de nations indépendantes, James Bond rencontre Xenia Onatopp, une superbe créature qui joue au chat et à la souris avec lui. La partie se révèle pleine de charme mais aussi pleine de dangers.",https://image.tmdb.org/t/p/w500/aMfHCU4Bb2QURqO0rVD06aFs7iq.jpg
